Name,EN_long,EN_short,FR_long,ColorPastel,NamePastel
,,,,,
CAPEX,Capital expenses,CAPEX,Coûts d'investissement,#007480,canard
OPEX,Operational expenses,OPEX,Coûts opérationnels,#FEA993,salmon
TOTEX,Total expenses,TOTEX,Coûts totaux,#737373,grey
GWP,Global warming potential,GWP,Empreinte carbone équivalente,#737373,grey
,,,,,
Electricity_import,Electricity import,Elec in,Électricité (import),#007480,canard
Electricity_export,Electricity export,Elec out,Électricité (export),#4d9ea6,canard_light
Heat_import,Heat import,Heat in,CAD (import),#FF8C00,orange
Heat_export,Heat export,Heat out,CAD (export),#FF8C00,orange
Biomethane_import,Biomethane import,CH4 in,Biogaz (import),#8B4513,brown
Biomethane_export,Biomethane export,CH4 out,Biogaz (export),#8B4513,brown
Hydrogen_import,Hydrogen import,H2 in,Hydrogène (import),#82a4d6,lightblue
Hydrogen_export,Hydrogen export,H2 out,Hydrogène (export),#82a4d6,lightblue
,,,,,
Oil_import,Oil import,OIL,Mazout (import),#000000,dark
NaturalGas_import,Natural gas import,NG,Gaz naturel (import),#413D3A,ardoise
Wood_import,Wood import,WD,Bois (import),#8B4513,brown
Gasoline_import,Gasoline import,GAS,Essence (import),#55552b,kaki
Data_export,Data processing,ICT,Données traitées,#ffcc99,skin
,,,,,
Boiler,Fossil-fuel boiler,BO,Chaudière fossile,#000000,dark
OIL_Boiler,Oil boiler,OB,Chaudière à mazout,#000000,dark
NG_Boiler,Gas boiler,NGB,Chaudière à gaz,#413D3A,ardoise
NG_Boiler_district,District gas boiler,NGB,Chaudière à gaz (district),#413D3A,ardoise
NG_Cogeneration_district,District cogeneration,COGEN,Cogénération (district),#413D3A,ardoise
WOOD_Stove,Wood stove,WS,Poêle à bois,#8B4513,brown
,,,,,
ElectricalHeater,Electrical heater,EH,Chauffage électrique,#ff6666,groseille_light
ElectricalHeater_other,Electrical heater,EH,Chauffage électrique,#ff6666,groseille_light
ElectricalHeater_DHW,Electrical heater (DHW),EH (DHW),Chauffage électrique (ECS),#ff6666,groseille_light
ElectricalHeater_SH,Electrical heater (SH),EH (SH),Chauffage électrique,#ff6666,groseille_light
,,,,,
ThermalSolar,Thermal solar panels,TS,Panneaux solaires thermiques,#FF8C00,orange
,,,,,
PV,PV panel,PV,Panneaux photovoltaïques,#ffd980,yellow_light
PV_roof,PV roof,PV,PV toiture,#ffd980,yellow_light
PV_facades,PV facade,PV,PV façade,#ffc94d,yellow_medium
solar_value,Solar electricity,Solar,Électricité solaire,#4d9ea6,canard_light
sc_premium,Self-consumption premium,SC Premium,Premium auto-consommation,#ffd980,yellow_light
Curtailment,PV curtailment,CU,PV Écrêtement,#664700,yellow_dark
,,,,,
HeatPump,Heat pump,HP,Pompe à chaleur,#FEA993,salmon
HeatPump_Air,Heat pump air,HP air,"Pompe à chaleur, air",#FEA993,salmon
HeatPump_DHN,Heat pump DHN,HP DHN,"Pompe à chaleur, CAD",#FEA993,salmon
HeatPump_Geothermal,Heat pump geothermal,HP geo,"Pompe à chaleur, géothermie",#FEA993,salmon
HeatPump_Geothermal_district, District HP geothermal,District HP geo,PAC géothermie (district),#FEA993,salmon
HeatPump_Lake,Heat pump lake,HP lake,"Pompe à chaleur, lac",#FEA993,salmon
,,,,,
DHN_pipes,DHN connection,DHN,Connexion CAD,#FF8C00,orange
DHN,DHN,DHN,Connexion CAD,#FF8C00,orange
DHN_hex,Heat exchanger,HEX,Échangeur de chaleur,#FF8C00,orange
Heat_losses,Heat losses,SH leak,Pertes chaleur,#FF8C00,orange
,,,,,
rSOC,rSOC,rSOC,rSOC,#7070db,darkblue
rSOC_district,District rSOC,rSOC,rSOC (district),#7070db,darkblue
MTR,Methanator,Methanator,Methanator,#9f8753,darkyellow
MTR_district,District Methanator,Methanator,Methanator (district),#9f8753,darkyellow
FC,Fuel Cell,Fuel Cell,Fuel Cell,#00008B,darkblue
ETZ,Electrolyzer,Electrolyzer,Electrolyzer,#00008B,darkblue
,,,,,
Battery,Battery,Bat,Batterie,#A57300,lightblue
Battery_district,District battery,Bat,Batterie (district),#A57300,lightblue
Battery_IP,Battery,Bat,Batterie,#A57300,lightblue
Battery_IP_district,District battery,Bat,Batterie (district),#A57300,lightblue
,,,,,
H2_storage_IP,Hydrogen storage,H2,Stockage hydrogène,#82a4d6,lightblue
H2_storage_IP_district,hydrogen storage,H2,Stockage hydrogène,#82a4d6,lightblue
CH4_storage_IP,Biomethane storage,CH4,Stockage biogaz,#D7B652,darkyellow
CH4_storage_IP_district,biomethane storage,CH4,Stockage biogaz,#D7B652,darkyellow
CO2_storage_IP,CO2 storage,CO2,Stockage CO2,#D2363E,brightred
CO2_storage_IP_district,CO2 storage,CO2,Stockage CO2,#D2363E,brightred
